,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,res_artists,genre12
9,0.643,0.852,150200,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,-7.261,0,I Put A Spell On You,7,1920-01-05,0.0534,86.889,0.95,1920,Screamin' Jay Hawkins,blues
10,0.59,0.733,144867,0.399,0,3sLhMSePzxSrmxluIqeoAZ,0.0254,10,0.0766,-12.086,0,I Put a Spell On You,50,1958,0.094,173.78099999999995,0.9,1958,Screamin' Jay Hawkins,blues
11,0.71,0.845,145933,0.455,0,3FFSwglyuJgEvYV1PrTq00,0.42,5,0.055,-13.668,0,"I Put A Spell On You - Live at the Apollo Theatre, New York, NY - Sept. 1956",1,1927,0.0488,87.00200000000002,0.8959999999999999,1927,Screamin' Jay Hawkins,blues
12,0.685,0.385,170413,0.879,0,7ciIArzb5XqjsjG35aTLsL,0.0114,10,0.5870000000000001,-7.904,1,Orange Colored Sky,19,1958,0.0711,143.785,0.672,1958,Screamin' Jay Hawkins,blues
13,0.978,0.329,108773,0.3,0,5yeSIYNTj90TOxjw1v3R0w,4.04e-05,3,0.21,-11.52,1,"Swing Low, Sweet Chariot",19,1958,0.0385,139.356,0.319,1958,Screamin' Jay Hawkins,blues
14,0.652,0.703,118893,0.506,0,0MzOwBtlPOlqAXG9h8twPi,0.00021,0,0.128,-9.876,1,You Made Me Love You (I Didn't Want to Do It),16,1958,0.0966,83.86399999999998,0.684,1958,Screamin' Jay Hawkins,blues
15,0.583,0.7440000000000001,144360,0.434,0,1YwoYPfhuZlLDbJUH1cKSi,0.0151,5,0.0715,-10.807,0,I Put a Spell on You,44,1999-10-08,0.0845,173.87099999999995,0.939,1999,Screamin' Jay Hawkins,blues
16,0.804,0.574,142893,0.401,0,6MC85zBk1dQqnywRDdzy7h,2.04e-05,2,0.546,-11.185,1,I Love Paris,18,1958,0.0533,89.848,0.5870000000000001,1958,Screamin' Jay Hawkins,blues
17,0.6659999999999999,0.753,142760,0.617,0,64dN7B4aRyp1kgwCnlupu4,2.71e-05,7,0.748,-8.035,1,Yellow Coat,15,1958,0.153,108.053,0.914,1958,Screamin' Jay Hawkins,blues
18,0.805,0.643,139480,0.511,0,6XIeO5fwHiXrdxGpiu5i6y,2.88e-06,5,0.4270000000000001,-8.851,0,Hong Kong,16,1958,0.0902,148.688,0.785,1958,Screamin' Jay Hawkins,blues
19,0.795,0.35600000000000004,171440,0.4970000000000001,0,0rc1VXvPvR0qWILRys9M2R,0.000204,2,0.126,-7.612999999999999,0,If You Are But a Dream,15,1958,0.0361,115.685,0.376,1958,Screamin' Jay Hawkins,blues
20,0.635,0.632,156893,0.501,0,1q8qKnIQBZq09bBbdQ2lsy,0.00154,2,0.362,-11.197,1,Temptation,14,1958,0.0522,142.967,0.778,1958,Screamin' Jay Hawkins,blues
21,0.931,0.41,262400,0.322,0,5e23RKjh7aptXFANqiZqo2,0.000808,3,0.0808,-10.679,1,Ol' Man River,14,1958,0.138,82.552,0.326,1958,Screamin' Jay Hawkins,blues
22,0.79,0.44,159693,0.647,0,6WzKkDXobUAbN5yyFtaiwX,0.000398,7,0.413,-8.106,1,Take Me Back to My Boots and Saddle,13,1958,0.0377,161.33100000000005,0.947,1958,Screamin' Jay Hawkins,blues
23,0.904,0.436,153093,0.132,0,5CEg7RwK7aqTLAqb1goagk,0.019,3,0.262,-14.565,1,Deep Purple,12,1958,0.0296,87.88600000000002,0.174,1958,Screamin' Jay Hawkins,blues
24,0.639,0.7170000000000001,145867,0.442,0,7rCchsJktyFH0MB5SIpnbN,0.0233,5,0.106,-11.594,0,I Put a Spell On You,38,1991-08-13,0.0715,174.06,0.944,1991,Screamin' Jay Hawkins,blues
29,0.996,0.424,198627,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,-11.47,1,Crazy Blues - 78rpm Version,9,1920,0.0397,103.87,0.477,1920,Mamie Smith & Her Jazz Hounds,unknown genre
30,0.996,0.474,186173,0.239,0,02FzJbHtqElixxCmrpSCUa,0.18600000000000005,9,0.195,-9.712,1,Arkansas Blues,0,1920,0.0289,78.78399999999998,0.366,1920,Mamie Smith & Her Jazz Hounds,unknown genre
31,0.995,0.534,176360,0.191,0,0sj3QeaCpacCfxL4c5TQBl,0.0982,7,0.805,-12.889,0,Mean Man,0,1920,0.0508,70.059,0.605,1920,Mamie Smith & Her Jazz Hounds,unknown genre
32,0.996,0.575,177173,0.247,0,1DfwOz5apF0w2d8hccSkhH,0.0684,9,0.362,-13.284,0,Frankie Blues,0,1920,0.04,130.804,0.841,1920,Mamie Smith & Her Jazz Hounds,unknown genre
33,0.996,0.679,175200,0.182,0,1HAK7hlSD1szWBiaC7PO7A,0.6679999999999999,10,0.47,-13.741,1,The Darktown Flappers' Ball,0,1920,0.0693,123.803,0.754,1920,Mamie Smith & Her Jazz Hounds,unknown genre
34,0.996,0.551,175267,0.197,0,2AWOgskypXnjLItNjzE6l5,0.000211,2,0.155,-13.103,1,Mean Daddy Blues,0,1920,0.0453,127.888,0.847,1920,Mamie Smith & Her Jazz Hounds,unknown genre
35,0.995,0.5479999999999999,163867,0.242,0,34quhtd2AfsCt4NUxC5WwU,0.00333,3,0.443,-12.162,1,Dem Knock-Out Blues,0,1920,0.0647,143.341,0.7120000000000001,1920,Mamie Smith & Her Jazz Hounds,unknown genre
36,0.996,0.672,183333,0.212,0,35Isk2sBRwDbvg1YEshvOv,0.0307,2,0.271,-13.083,1,I Ain't Gonna Give Nobody None O' This Jelly Roll,0,1920,0.053,119.95,0.5660000000000001,1920,Mamie Smith & Her Jazz Hounds,unknown genre
37,0.996,0.623,174293,0.28300000000000003,0,46JY9OYPi4hJ7oLIS0FZt0,0.463,7,0.422,-13.83,1,"""U"" Need Some Lovin' Blues",0,1920,0.0753,137.368,0.743,1920,Mamie Smith & Her Jazz Hounds,unknown genre
38,0.996,0.632,169067,0.266,0,4Lb0u3JwC4EWQXugQKGphZ,0.0365,7,0.444,-12.849,1,That Da Da Strain,0,1920,0.0438,127.441,0.575,1920,Mamie Smith & Her Jazz Hounds,unknown genre
39,0.996,0.593,177427,0.29100000000000004,0,4RDT3ftT3V0IJVmW0TNgof,0.0845,3,0.21,-11.421,1,Don't Care Blues,0,1920,0.0463,146.88,0.856,1920,Mamie Smith & Her Jazz Hounds,unknown genre
40,0.996,0.488,170573,0.23,0,4lDjkpUrpWlMFofIpzuExK,0.496,5,0.5820000000000001,-14.439,1,It's Right Here for You,1,1920,0.0396,115.901,0.701,1920,Mamie Smith & Her Jazz Hounds,unknown genre
41,0.996,0.49,191560,0.255,0,5CMLMZ18hkm3QgDFzJdlTN,4.64e-05,3,0.205,-14.19,1,Mamie Smith Blues,0,1920,0.0582,113.767,0.541,1920,Mamie Smith & Her Jazz Hounds,unknown genre
42,0.996,0.485,186333,0.16399999999999998,0,5SNmWjfuDJT9Vm9PZafQgr,0.563,7,0.263,-12.358,0,The Wang Wang Blues,0,1920,0.0486,66.818,0.503,1920,Mamie Smith & Her Jazz Hounds,unknown genre
43,0.995,0.561,184360,0.17600000000000002,0,62kpKERs2EyhfJ6WKa2aDe,0.00544,7,0.345,-11.219,0,Wabash Blues,0,1920,0.0813,60.377,0.495,1920,Mamie Smith & Her Jazz Hounds,unknown genre
44,0.996,0.386,188267,0.192,0,63A7QZjTgxw7F9N8wUyV9v,0.774,0,0.198,-12.913,1,A-Wearin' Away The Blues,0,1920,0.0414,64.115,0.5489999999999999,1920,Mamie Smith & Her Jazz Hounds,unknown genre
45,0.996,0.466,181933,0.196,0,7a6zoaBOya7nnPicmVFEx1,0.35,0,0.102,-12.566,1,Down Home Blues,0,1920,0.0412,71.158,0.519,1920,Mamie Smith & Her Jazz Hounds,unknown genre
2274,0.0068200000000000005,0.5710000000000001,476304,0.753,0,06NUxS2XL3efRh0bloxkHm,0.873,8,0.092,-6.943,1,Broken Puppet - Original Mix,0,1920-01-01,0.0446,126.993,0.119,1920,Meetya,unknown genre
2275,0.0323,0.6970000000000001,489012,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,-9.51,0,Day After - Original Mix,0,1920-01-01,0.0609,133.982,0.321,1920,Meetya,unknown genre
2276,0.0017399999999999998,0.602,496170,0.5920000000000001,0,0gmSdjhXEjlLVJh32Ii6Az,0.898,1,0.108,-10.421,1,Headbanger - Original Mix,0,1920-01-01,0.0439,133.99200000000002,0.396,1920,Meetya,unknown genre
2277,0.00762,0.691,510981,0.736,0,3rSNsGlrikcIdjhzIHoaXB,0.818,10,0.0976,-8.363,0,Ira Angeli,0,1920-01-01,0.075,131.996,0.35600000000000004,1920,Meetya,unknown genre
2278,0.952,0.688,150067,0.22,0,07jrRR1CUUoPb1FLfSy9Jh,0.0,6,0.262,-15.208,0,Oouin,0,1920,0.845,82.024,0.414,1920,Dorville,unknown genre
2279,0.965,0.653,158732,0.242,0,77roOnL6YzXz0wbd6IwR9B,0.0,11,0.106,-13.158,1,Palmyre,0,1929,0.156,128.378,0.8059999999999999,1929,Dorville,unknown genre
2280,0.992,0.353,285707,0.396,0,0BEO6nHi1rmTOPiEZvCIDW,0.924,1,0.312,-14.053,1,Ta oula sou,0,1920-01-01,0.0447,111.268,0.5660000000000001,1920,Ka Koula,unknown genre
2281,0.992,0.353,285707,0.396,0,6OaE3ZgFPSexekbSTRIZLD,0.924,1,0.312,-14.053,1,Ta oula sou,0,1920-01-01,0.0447,111.268,0.5660000000000001,1920,Ka Koula,unknown genre
2286,0.993,0.453,255520,0.41,0,0HVjPaxbyfFcg8Rh0plyo5,0.16,2,0.292,-10.469,1,Mparmpaouzos,0,1920-01-01,0.044,67.271,0.894,1920,Takis Nikolaou,unknown genre
2287,0.995,0.369,268360,0.416,0,3d1y2U7VtHlRbiXqren9Hi,0.498,9,0.375,-11.404000000000002,0,O pseutoparkadoros,0,1920-01-01,0.0426,133.661,0.7609999999999999,1920,Takis Nikolaou,unknown genre
2288,0.993,0.453,255520,0.41,0,3vTys7kWK733lvNmrcbIiP,0.16,2,0.292,-10.469,1,Mparmpaouzos,0,1920-01-01,0.044,67.271,0.894,1920,Takis Nikolaou,unknown genre
2289,0.995,0.369,268360,0.416,0,6StBlKqsaSel0sQo6NicCY,0.498,9,0.375,-11.404000000000002,0,O pseutoparkadoros,0,1920-01-01,0.0426,133.661,0.7609999999999999,1920,Takis Nikolaou,unknown genre
2290,0.996,0.486,245987,0.424,0,1Uymek7Ppd68uiv5z9eZri,0.915,5,0.14,-9.483,0,Ta sparmatseta,0,1940-01-01,0.0437,83.15299999999998,0.6409999999999999,1940,Takis Nikolaou,unknown genre
2291,0.993,0.526,255320,0.249,0,5BC7ITs1dBji6Y7GdM0clV,0.184,2,0.331,-10.673,1,Mparmpaouzos,0,1930-01-01,0.06,137.83100000000002,0.742,1930,Takis Nikolaou,unknown genre
2292,0.996,0.486,245987,0.424,0,7zPurezWIFWjd5SPjcpWUh,0.915,5,0.14,-9.483,0,Ta sparmatseta,0,1930-01-01,0.0437,83.15299999999998,0.6409999999999999,1930,Takis Nikolaou,unknown genre
2293,0.979,0.525,258167,0.433,0,0Hn7LWy1YcKhPaA2NItG9K,0.111,2,0.134,-11.425999999999998,1,To katinaki,0,1920-01-01,0.0488,102.578,0.792,1920,Aggeliki Karagianni,unknown genre
2294,0.979,0.525,258167,0.433,0,4kQxqLAtWzMrThDHBwV8q1,0.111,2,0.134,-11.425999999999998,1,To katinaki,0,1920-01-01,0.0488,102.578,0.792,1920,Aggeliki Karagianni,unknown genre
2295,0.981,0.474,251760,0.815,0,5S1ff4Q4nkzgwqg8zmAQje,0.463,4,0.477,-10.577,0,O Vaggelis,0,1920-01-01,0.0577,87.395,0.918,1920,Aggeliki Karagianni,unknown genre
2296,0.981,0.474,251760,0.815,0,5mgLgtUMZnzuYF5l2H8Pwu,0.463,4,0.477,-10.577,0,O Vaggelis,0,1920-01-01,0.0577,87.395,0.918,1920,Aggeliki Karagianni,unknown genre
2303,0.993,0.397,258160,0.484,0,0LYNwxHYHPW256lO2phedM,0.179,5,0.327,-11.892,0,Thelo na se lismoniso,0,1920-01-01,0.0498,65.485,0.515,1920,Amalia Vaka,unknown genre
2304,0.995,0.287,216720,0.621,0,1QS0MyTMZPosdthxhALOhT,0.784,3,0.151,-10.843,0,Argilamas kai psarades,0,1920-01-01,0.0394,77.53699999999998,0.5589999999999999,1920,Amalia Vaka,unknown genre
2305,0.995,0.287,216720,0.621,0,2XVujD5mP2bMSXLkpqeWKU,0.784,3,0.151,-10.843,0,Argilamas kai psarades,0,1920-01-01,0.0394,77.53699999999998,0.5589999999999999,1920,Amalia Vaka,unknown genre
2306,0.993,0.397,258160,0.484,0,5lz7mPPa4prPkksjSMBG6i,0.179,5,0.327,-11.892,0,Thelo na se lismoniso,0,1920-01-01,0.0498,65.485,0.515,1920,Amalia Vaka,unknown genre
2307,0.0239,0.7440000000000001,215773,0.428,0,0MwMyEO5AxYpghTU6gB85H,3.07e-05,9,0.106,-21.081,1,On a Ragga Trip,8,1920-01-03,0.0376,140.011,0.578,1920,Ron van der Kraan,unknown genre
2308,0.0105,0.763,324333,0.363,0,0Rfu6umKtRBny2reKydNph,0.0,10,0.0956,-21.045,0,Sweet Reggae Music,1,1920-01-03,0.16899999999999998,88.007,0.447,1920,Ron van der Kraan,unknown genre
2309,0.00397,0.6409999999999999,257667,0.292,0,0cU0Kxxk3w3HNDhv8m0cLf,0.000121,8,0.35600000000000004,-22.969,1,Dancehall Good To Me,1,1920-01-03,0.0571,179.967,0.752,1920,Ron van der Kraan,unknown genre
2310,0.00744,0.737,225707,0.328,0,0gIniSwikXODTBupqYPCI1,1.64e-06,0,0.0765,-18.8,1,Sweat (A La La La La Long),0,1920-01-03,0.0526,172.025,0.7979999999999999,1920,Ron van der Kraan,unknown genre
2311,0.00139,0.932,363227,0.318,0,3OcHYYvV8PaBUGXxRae4DD,0.000237,4,0.0542,-16.147000000000002,0,Go Deh Yaka,1,1920-01-03,0.0699,97.011,0.659,1920,Ron van der Kraan,unknown genre
2312,0.0039,0.826,224067,0.369,0,4pWy7AYFfXU6XgbZmtrz0n,7.53e-06,0,0.302,-21.698,0,Strong Me Strong,0,1920-01-03,0.134,91.009,0.69,1920,Ron van der Kraan,unknown genre
2313,0.0496,0.743,95933,0.271,0,5WRYqQFhUACITeTPaT0nWB,0.000104,11,0.138,-21.184,0,Party Party,0,1920-01-03,0.0537,89.978,0.585,1920,Ron van der Kraan,unknown genre
2314,0.0655,0.746,228493,0.331,0,7580t72pVZHRigWzoqrkL1,0.0,4,0.109,-20.207,0,Housecall,0,1920-01-03,0.15,82.02799999999998,0.868,1920,Ron van der Kraan,unknown genre
2315,0.000129,0.799,366733,0.284,0,7z1HXDqmDWOkqF3UwnSad7,0.302,1,0.0724,-21.068,0,Kozmik,0,1920-01-03,0.0513,116.008,0.544,1920,Ron van der Kraan,unknown genre
2316,0.939,0.465,208347,0.611,0,0OM9aSti0UOwN9yuz1m85y,0.8859999999999999,2,0.145,-11.701,1,Sirtó prevezániko,0,1920-01-01,0.0469,93.128,0.8029999999999999,1920,Vasílis Besíris 'Tourkovasílis',unknown genre
2317,0.0808,0.389,774360,0.81,0,0RdLX7r5HrPOGQabZIjCfi,0.918,1,0.332,-11.132,1,Big Rip,0,1920-01-01,0.109,161.322,0.071,1920,Tr0ma,unknown genre
2318,1.75e-05,0.49,454776,0.922,0,0w1niwodVUkILevvugjgNa,0.855,1,0.123,-11.961,1,Quantum Fluctuation,0,1920-01-01,0.0771,158.049,0.264,1920,Tr0ma,unknown genre
2319,0.5329999999999999,0.465,674688,0.716,0,6pzhJ8kuubdq7tjL0V1gTv,0.875,1,0.0948,-15.164,1,Big Bang,0,1920-01-01,0.048,158.013,0.136,1920,Tr0ma,unknown genre
2320,0.25,0.521,142445,0.7759999999999999,0,0TT2zA8fatUuvTnPABz3lS,0.00088,1,0.175,-7.919,1,Taro Yard Slaughter House,0,1920-01-29,0.268,159.775,0.5670000000000001,1920,Jodoli,unknown genre
2321,0.021,0.8140000000000001,170161,0.705,0,16WOPztTggX5a2wdkG4zWL,0.821,8,0.209,-8.862,1,Zeet Zoot Zeet Zoot Zeet,0,1920-01-29,0.0622,108.999,0.672,1920,Jodoli,unknown genre
2322,0.00676,0.79,177528,0.438,0,2lTl3eUKAGNFq5crR0a9Bk,0.000177,1,0.182,-7.74,0,The Logo,0,1920-01-29,0.205,165.02900000000002,0.382,1920,Jodoli,unknown genre
2323,0.117,0.833,225541,0.556,0,4D7ECbHkFqiBGifeAIb1at,0.908,10,0.13699999999999998,-9.077,0,96.96.96,0,1920-01-29,0.128,104.033,0.16699999999999998,1920,Jodoli,unknown genre
2324,0.00555,0.5710000000000001,206968,0.596,0,67bQWjqON3ApwzuRmJeZY0,0.711,5,0.293,-9.122,0,Black Light Casting Couch,0,1920-01-29,0.231,170.007,0.366,1920,Jodoli,unknown genre
2325,0.0383,0.742,150099,0.675,0,7petIwA2uShCFXGfVybIS7,0.173,1,0.0878,-7.271,1,Taxidermy Exterminator,0,1920-01-29,0.248,140.08700000000002,0.495,1920,Jodoli,unknown genre
2326,0.133,0.875,157335,0.44,0,7vGcJM72VTM5sCBfFnZHXw,0.7609999999999999,8,0.111,-10.493,1,Tick Dictator,0,1920-01-29,0.103,104.992,0.574,1920,Jodoli,unknown genre
2327,0.959,0.603,214773,0.3720000000000001,0,0UYplqEm5qa4hkEo64C0TW,0.0129,8,0.174,-12.666,0,"I photoúla, beráti",0,1920-01-01,0.0741,118.351,0.901,1920,Athanasía Alexandropoúlou,unknown genre
